url,date,time,name,media,release_date,details,version,logo,category,licensing,downloads,installs,headline,rating,reviews_count,developer,website,compatibility
https://splunkbase.splunk.com/app/5966,2022-01-10,08:19:18 AM,FireEye HX,,"Oct. 27, 2021","FireEye HX Endpoint Security


Supported Actions Version 2.1.0


test connectivity: 
Validate the asset configuration for connectivity using supplied configuration


get system info: 
Get system information for an endpoint


quarantine device: 
Request to contain the endpoint


get quarantine status: 
Get the containment status for an endpoint


set quarantine approved: 
Approve containment request for host


unquarantine device: 
Containment cancellation for host


get acquisition status: 
Get status of file acquisition


get triage: 
Request Endpoint Host Triage Package


list device groups: 
Retrieve a list of host sets in HX optionally filtered by name


get device group: 
List endpoints in a host set


list endpoints: 
List and search the endpoints on HX


list acquisitions: 
Retrieve a list of all acquisitions with optional filters


start acquisition: 
Request a file to be acquired into FireEye HX


get file: 
Pull the acquired file into Phantom Vault


get alert: 
Pull single alert info by ID




Supported Actions Version 2.0.0


test connectivity: 
Validate the asset configuration for connectivity using supplied configuration


get system info: 
Get system information for an endpoint


quarantine device: 
Request to contain the endpoint


get quarantine status: 
Get the containment status for an endpoint


set quarantine approved: 
Approve containment request for host


unquarantine device: 
Containment cancellation for host


get acquisition status: 
Get status of file acquisition


get triage: 
Request Endpoint Host Triage Package


list device groups: 
Retrieve a list of host sets in HX optionally filtered by name


get device group: 
List endpoints in a host set


list endpoints: 
List and search the endpoints on HX


list acquisitions: 
Retrieve a list of all acquisitions with optional filters


start acquisition: 
Request a file to be acquired into FireEye HX


get file: 
Pull the acquired file into Phantom Vault


get alert: 
Pull single alert info by ID",Version 2.1.0,https://prod.cdn.apps.splunk.com/media/public/icons/83135326-3720-11ec-a19d-6631ba245300.svg,Endpoint,https://www.apache.org/licenses/LICENSE-2.0,83,0,,5,1,,,"Products: Splunk SOAR Products: Splunk SOAR
Categories: Endpoint
App Type: Connector
SOAR Versions: 4.10, 5.0, 5.1, 5.2
SOAR Versions: 4.9, 4.10, 5.0, 5.1, 5.2"
https://splunkbase.splunk.com/app/5041,2022-01-10,08:19:20 AM,ZeroFOX Data Connector,,"Feb. 16, 2021",The ZeroFOX Data Connector Add-on should be installed on your IDM as a way to ingest ZeroFOX alert data.,Version 2.4.1,https://prod.cdn.apps.splunk.com/media/public/icons/94b19c7e-7064-11eb-80d2-02fa7700cf1c.png,"Security, Fraud & Compliance",https://cdn.apps.splunk.com/static/misc/eula.html,360,0,splunk,0,0,ZeroFOX Integrations,https://splunkbase.splunk.com/apps/#/author/zerofox,"Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise, Splunk Cloud Products: Splunk Enterprise, Splunk Cloud Products: Splunk Enterprise
Categories: Security, Fraud & Compliance
App Type: Add-on
This version of the app (2.4.1) is not available for Splunk Cloud. However, version 2.2.0 of this app is available for Splunk Cloud.
This version of the app (2.3.1) is not available for Splunk Cloud. However, version 2.2.0 of this app is available for Splunk Cloud.
This version of the app (2.3.0) is not available for Splunk Cloud. However, version 2.2.0 of this app is available for Splunk Cloud.
This version of the app (2.1.0) is not available for Splunk Cloud. However, version 2.2.0 of this app is available for Splunk Cloud.
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent"
https://splunkbase.splunk.com/app/5387,2022-01-10,08:19:31 AM,Plotly Heatmap Visualization,"https://prod.cdn.apps.splunk.com/media/public/screenshots/c40a5a5a-5265-11eb-b282-06ffc77ac761.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/bd947eb2-5265-11eb-b282-06ffc77ac761.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/ba6eef88-5265-11eb-a90b-022786c46691.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/b34e5ff4-5265-11eb-9313-0264fd5fe923.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/a9575960-5265-11eb-a90b-022786c46691.png",,"This is a custom heatmap visualization based on the ""Plotly JavaScript Open Source Graphing Library"". Heatmaps are useful if you want to visualize multiple metrics or statuses of different devices at the same time. We use this visualization to monitor multiple machines by visualizing the output of an anomaly detection model.The Plotly Graphing Library is good for fast rendered plots and allows for a lot of specific style configurations.",,https://prod.cdn.apps.splunk.com/media/public/icons/cf8bcfa6-5262-11eb-b312-06df50e2960d.png,Utilities,,68,0,splunk,0,0,Peter Weiderer,https://splunkbase.splunk.com/apps/#/author/pwsplunk222,
https://splunkbase.splunk.com/app/3873,2022-01-10,08:19:32 AM,TA-OPD,https://prod.cdn.apps.splunk.com/media/public/screenshots/c80382c2-7ad2-11eb-ab51-06ffc77ac761.png,"April 10, 2018","TA-opd
OVERVIEW
TA-opd scans for open ports. This app should be installed on your Heavy Forwarder. Nmap will also need to be installed. The app will look for nmap in these paths:
- nmap
- /usr/bin/nmap
- /usr/local/bin/nmap
- /sw/bin/nmap
- /opt/local/bin/nmap
These are the only files that the app may access outside the app directory.
This app uses python-nmap
(https://bitbucket.org/xael/python-nmap) to run Nmap commands. The following modular inputs can be set up:
- Banner Scan (sourcetype=opd:banners)
- Full Scan (sourcetype=opd:full)
- Quick Scan (sourcetype=opd:quick)
- Version Scan (sourcetype=opd:versions)
A separate app called 'Hurricane Labs Open Port Detection' can be installed on your Search Head from which you can utilize
additional saved searches and dashboards along with possible Shodan integration.
SPLUNK VERSION SUPPORT
7.0, 6.6
INSTALLATION

Make sure TA-opd is installed on a Heavy Forwarder and is sending data to sourcetype=opd.

RELEASE NOTES
v2.0

Added option for 'All' protocols (TCP, UDP, ICMP)
Added label option (e.g. DMZ, Firewall)

DEV SUPPORT
Contact: splunk@hurricanelabs.com",Version 2.2.2,https://prod.cdn.apps.splunk.com/media/public/icons/b3851c9a-3ccb-11e8-9c53-02f13bdc2585.png,"Security, Fraud & Compliance, IoT & Industrial Data",https://cdn.apps.splunk.com/static/misc/eula.html,511,0,splunk,0,0,Hurricane Labs,https://splunkbase.splunk.com/apps/#/author/hurricanelabs,"Products: Splunk Enterprise, Splunk Cloud Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise
Categories: Security, Fraud & Compliance, IoT & Industrial Data
App Type: Add-on
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent"
https://splunkbase.splunk.com/app/5400,2022-01-10,08:19:33 AM,Whois XML Website Categorization API for Splunk,,"Aug. 25, 2021",Website Categorization API uses a machine learning (ML) engine to scan a website’s content and meta tags. It extracts text to classify the site and assign up to three categories aided by natural language processing (NLP).,Version 1.0.3,https://prod.cdn.apps.splunk.com/media/public/icons/1fe3c1f4-0599-11ec-a693-72ae458f13d6.png,"IT Operations, Utilities",https://cdn.apps.splunk.com/static/misc/eula.html,111,0,splunk,0,0,Whoisxmlapi Admin,https://splunkbase.splunk.com/apps/#/author/whoisxmlapiadmin,"Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise
Categories: IT Operations, Utilities
App Type: App
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent"
https://splunkbase.splunk.com/app/6083,2022-01-10,08:19:34 AM,Blue Coat,,"Sept. 21, 2021","Query Blue Coat cloud services and configure appliance.


Supported Actions Version 1.1.3


test connectivity: 
Validate the asset configuration for connectivity. This action logs into the device to check the connection and credentials.


block url: 
Block an URL


unblock url: 
Unblock an URL


allow url: 
Allow an URL


disallow url: 
Disallow an URL


url reputation: 
Queries WebPulse Site Review for URL info.",Version 1.1.3,https://prod.cdn.apps.splunk.com/media/public/icons/58a4c180-1b17-11ec-adad-4a19306c05f3.png,Network Access Control,https://www.splunk.com/en_us/legal/splunk-general-terms.html,60,0,,0,0,,,"Products: Splunk SOAR
Categories: Network Access Control
App Type: Connector
SOAR Versions: 1.2, 2.0, 2.1, 3.0, 3.5, 4.0, 4.1, 4.2, 4.5, 4.6, 4.7, 4.8, 4.9, 4.10, 5.0, 5.1, 5.2"
https://splunkbase.splunk.com/app/6037,2022-01-10,08:19:35 AM,Mark II Server,,"Sept. 21, 2021","This app supports containment actions on Soliton Mark II Server


Supported Actions Version 1.0.2


test connectivity: 
Validate the asset configuration for connectivity using supplied configuration


quarantine device: 
Quarantine a device",Version 1.0.2,https://prod.cdn.apps.splunk.com/media/public/icons/2867fc16-1b0e-11ec-995e-0e383ee5270c.png,Network Device,https://www.splunk.com/en_us/legal/splunk-general-terms.html,45,0,,0,0,,,"Products: Splunk SOAR
Categories: Network Device
App Type: Connector
SOAR Versions: 3.5, 4.0, 4.1, 4.2, 4.5, 4.6, 4.7, 4.8, 4.9, 4.10, 5.0, 5.1, 5.2"
https://splunkbase.splunk.com/app/3693,2022-01-10,08:19:37 AM,Splunk Security Essentials for Fraud Detection,"https://prod.cdn.apps.splunk.com/media/public/screenshots/928e03fe-9e46-11e7-a4c5-02d89aced4c2.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/8cf0ddf4-9e46-11e7-8088-02d89aced4c2.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/78ec72dc-9e46-11e7-adb2-02d89aced4c2.png","Sept. 21, 2017","Description
Learn how Splunk Enterprise may be used to detect various forms of fraud using the example scenarios in Splunk Security Essentials for Fraud Detection. Each detection use case includes a description of how it was implemented using the Search Processing Language (SPL) and the Machine Learning Toolkit (MLTK). The use cases include example data sets so you may run them yourself. After learning about these examples you should be ready to start experimenting with similar scenarios on your own data using Splunk Enterprise. 
What is the Splunk Security Essentials For Fraud Detection App?
Learn ways to detect fraudsters with Splunk software by examining the example use cases in this free app. This app uses Splunk Enterprise and the power of our Search Processing Language (SPL) to showcase working examples of fraud detection. Each use case includes sample data and searches that can be used as a reference to help implement use cases in your environment. The example use cases give analysts the ability to detect potentially fraudulent activities in healthcare insurance claims, payment card purchases and wire transfers. Each use case includes a description, an explanation of how the search works and pointers to keep in mind when implementing similar use cases on your own data. 
Use Cases:
Healthcare Insurance Billing

Providers with very abnormal prescriptions 
Provider peer group profile 

Payment Cards

High risk cards 
Risky transactions 
Victimized merchants 

Wire Transfer

Customers with abnormal behavior
Account Profiling
Account Behavior Profile

Dependencies:
Splunk Security Essentials for Fraud Detection depends on the following apps
Splunk Machine Learning Toolkit
Python for Scientific Computing
Clustered Single Value Map Visualization
3D Scatterplot
All above apps can be downloaded for free from Splunkbase. When installing these apps please select the appropriate platform.
Make sure these apps are properly installed in your Splunk environment before installing this app.
Data Sources Used
Example Healthcare Insurance Billing logs 
Example Credit Card transaction logs 
Eventgen for wire transfer demo
Performance Impact
The example use cases are intended to demonstrate possible detection logic. These use cases are not necessarily optimized for performance. When implementing use cases in your environment based on this logic please make sure to optimize for your specific deployment and data sets. 
Detection Methods Used by the Searches
Splunk SPL searches
Machine Learning Toolkit
Quick Installation Suggestions
Due to very large size of the app - it may be a challenge to install it via normal, GUI way.
Here are suggested steps to install this app in a faster, more reliable manner:
- Download the app to your computer
- Unzip it manually (via WinRar or 7Zip or related linux utilities)
- If you do not need Healthcare demo - you may delete Healthcare dataset - all files under ./Splunk-SE-Fraud-Detection/DATA/af-cms* - this will greatly reduce the size of the app as well.
- Move ./Splunk-SE-Fraud-Detection tree under ./etc/apps of your Splunk installation 
- Restart Splunk
- If you included (did not delete) healthcare datasets - give app some time (30-60 minutes) to index the complete datasets. Once indexing is finished (af-cms-* indexes stopped growing) - the app is ready for use",Version 1.0.1,https://prod.cdn.apps.splunk.com/media/public/icons/4d99b9a4-9f19-11e7-baa1-02f13bdc2585.png,"Security, Fraud & Compliance, Utilities",http://www.splunk.com/en_us/legal/splunk-software-license-agreement.html,"4,750",0,splunk,5,3,Splunk Works,https://splunkbase.splunk.com/apps/#/author/splunklabs,"Products: Splunk Enterprise
Categories: Security, Fraud & Compliance, Utilities
App Type: App
Platform: Platform Independent"
https://splunkbase.splunk.com/app/4173,2022-01-10,08:19:38 AM,Slack App for Splunk Add On,"https://prod.cdn.apps.splunk.com/media/public/screenshots/98adff9a-b601-11e8-9c66-06a6c495856a.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/95e19be6-b601-11e8-8925-06a6c495856a.png,https://prod.cdn.apps.splunk.com/media/public/screenshots/91d75a36-b601-11e8-9c66-06a6c495856a.png","June 23, 2020","How to Generate a Slack Token for Splunk
On May 5, 2020 Slack announced that developers and users will no longer be able to create legacy tester tokens. Existing tokens will continue functioning as long as they are in use.
Follow these steps to generate a Slack token for use in Splunk with the Slack App for Splunk Add-on: 

Create a new Slack App with the following scopes:



Install the App to your workspace.
Copy the token from the App and use that in Splunk. 

Watch the 3-minute tutorial
We hope this helps! If you have any questions or suggestions please don't hesitate to contact our development team at support@function1.com.
Thank you for being a part of the Slack App community.",Version 1.3.1,https://prod.cdn.apps.splunk.com/media/public/icons/9d77450e-b582-11ea-824a-0a7b70f2f7b0.png,"IT Operations, Business Analytics",https://cdn.apps.splunk.com/static/misc/eula.html,"1,199",0,splunk,3,5,Function1 Inc.,https://splunkbase.splunk.com/apps/#/author/Function1_Inc,"Products: Splunk Enterprise, Splunk Cloud Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise, Splunk Cloud
Categories: IT Operations, Business Analytics
App Type: Add-on
This version of the app (1.2.2) is not available for Splunk Cloud. However, version 1.3.1 of this app is available for Splunk Cloud.
This version of the app (1.2.1) is not available for Splunk Cloud. However, version 1.3.1 of this app is available for Splunk Cloud.
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
CIM Versions: 4.x
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Splunk Versions: 8.1, 8.2
Platform: Platform Independent
Platform: Platform Independent
CIM Versions: 4.x, 3.x"
https://splunkbase.splunk.com/app/1741,2022-01-10,08:19:40 AM,Gantt Chart visualization,https://prod.cdn.apps.splunk.com/media/public/screenshots/b1c4d93a-15f0-11e6-b3df-06caea5ac9f9.png,"May 9, 2016",Please see the demo dashboards in the app itself for the full documentation.,Version 1.3.5,https://prod.cdn.apps.splunk.com/media/public/icons/b1c3f920-15f0-11e6-b3df-06caea5ac9f9.png,Utilities,http://www.gnu.org/licenses/gpl-3.0.txt,"3,487",0,splunk,5,10,Alex Iribarren,https://splunkbase.splunk.com/apps/#/author/alexiri,"Products: Splunk Enterprise, Splunk Cloud Products: Splunk Enterprise, Splunk Cloud Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise Products: Splunk Enterprise
Categories: Utilities
App Type: App
This version of the app (1.3.3) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.3.2) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.3.1) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.2.3) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.2.2) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.2.1) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.2) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.1) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
This version of the app (1.0) is not available for Splunk Cloud. However, version 1.3.5 of this app is available for Splunk Cloud.
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent
Platform: Platform Independent"
